deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-7,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-7,VEMCO,VR2,5965,48.0894,-53.7208,2008-11-13T12:22:00Z,2009-11-11T12:45:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-6,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-6,VEMCO,VR2,5965,48.08958,-53.72097,2008-06-30T13:22:00Z,2008-11-13T12:18:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-2,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-2,VEMCO,VR2,5965,48.09058,-53.72158,2006-09-15T14:05:00Z,2006-11-29T20:55:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-3,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-3,VEMCO,VR2,5965,48.09,-53.72138,2006-11-29T21:10:00Z,2007-05-02T21:40:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-4,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-4,VEMCO,VR2,5965,48.08997,-53.72137,2007-05-03T22:45:00Z,2007-11-10T00:50:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-5,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-5,VEMCO,VR2,5965,48.08955,-53.72078,2007-11-10T01:05:00Z,2008-06-30T13:21:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-NW ARM 1-VR2-5965-1,OTN-GlobalJBCJBC-NW ARM 1-VR2-5965-1,VEMCO,VR2,5965,48.09083,-53.7217,2005-09-30T16:30:00Z,2006-09-15T13:50:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-3,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-3,VEMCO,VR2,5966,48.82622,-53.13047,2006-06-07T18:40:00Z,2006-06-07T23:00:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-5,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-5,VEMCO,VR2,5966,48.6498,-53.13067,2006-06-07T23:10:00Z,2006-06-08T12:45:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-11,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-11,VEMCO,VR2,5966,48.64997,-53.13067,2006-06-09T23:28:00Z,2006-06-10T13:08:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
